INFO mlfcs.reciprocal.scph.solver: SCPH iteration 76: delta_omega=1.469315e-08 THz, frequency_min=2.446410e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=77
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 77: delta_omega=5.586795e-09 THz, frequency_min=4.669671e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=78
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 78: delta_omega=1.534163e-08 THz, frequency_min=-3.503786e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=79
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 79: delta_omega=5.590093e-09 THz, frequency_min=-3.941867e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=80
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 80: delta_omega=2.165058e-09 THz, frequency_min=-3.889523e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=81
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 81: delta_omega=6.091427e-09 THz, frequency_min=-5.574333e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=82
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 82: delta_omega=1.130193e-09 THz, frequency_min=-6.119604e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=83
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 83: delta_omega=7.136819e-09 THz, frequency_min=-8.545192e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=84
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 84: delta_omega=8.137315e-09 THz, frequency_min=-6.081804e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=85
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 85: delta_omega=3.532949e-09 THz, frequency_min=-5.429316e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=86
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 86: delta_omega=6.171397e-09 THz, frequency_min=-6.139342e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=87
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 87: delta_omega=1.315187e-08 THz, frequency_min=-9.736111e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=88
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 88: delta_omega=1.782973e-08 THz, frequency_min=-3.950842e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=89
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 89: delta_omega=5.790245e-09 THz, frequency_min=-5.220524e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=90
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 90: delta_omega=1.604999e-08 THz, frequency_min=2.436254e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=91
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 91: delta_omega=3.930603e-09 THz, frequency_min=2.831433e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=92
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 92: delta_omega=2.088533e-08 THz, frequency_min=-8.306884e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=93
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 93: delta_omega=8.718930e-09 THz, frequency_min=-3.834769e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=94
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 94: delta_omega=4.461161e-09 THz, frequency_min=-5.302540e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=95
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 95: delta_omega=4.334137e-09 THz, frequency_min=-5.566639e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=96
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 96: delta_omega=1.829807e-08 THz, frequency_min=-7.605319e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=97
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 97: delta_omega=1.734872e-08 THz, frequency_min=-2.317824e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=98
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 98: delta_omega=9.493048e-09 THz, frequency_min=-7.462531e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=99
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 99: delta_omega=1.719085e-08 THz, frequency_min=1.885120e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=100
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 100: delta_omega=1.581654e-08 THz, frequency_min=-6.523050e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=101
